Product_Category,Export_2015,Export_2025,Change_USD_million,Change_percent
Other goods,1920.6,10092.5,8171.9,425.4868270332188
Services,3061.3,10197.0,7135.7,233.093783686669
Industrial goods,1739.5,3987.4,2247.9,129.2267893072722
Food and live animals,1239.6,2944.6,1705.0,137.54436915133914
Chemicals and similar products,594.8,2136.0,1541.2,259.11230665770006
Various finished products,213.1,1695.5,1482.4,695.6358517128109
Machines and transport equipment,137.0,1160.9,1023.9000000000001,747.3722627737227
Beverages and tobacco,23.1,205.7,182.6,790.4761904761904
"Animal and vegetable oils, fats and wax",0.2,56.6,56.4,28200.0
"Non-food raw materials, except fuel",885.3,294.6,-590.6999999999999,-66.72314469671298
"Mineral fuels, lubricating oils and similar materials",2685.1,1477.0,-1208.1,-44.99273770064429
