Year,Exports_USD_million,Imports_USD_million,GDP_USD_million,Trade_Turnover_USD_million,Trade_Balance_USD_million,Trade_Openness_percent,Export_Growth_percent,Import_Growth_percent
2015,12507.6,12416.6,97564.6,24924.2,91.0,25.55,,
2016,12094.6,12137.6,97871.4,24232.2,-43.0,24.76,-3.3,-2.25
2017,12553.7,14012.4,72276.4,26566.1,-1458.7,36.76,3.8,15.45
2018,13990.7,19439.3,61318.3,33430.0,-5448.6,54.52,11.45,38.73
2019,17458.7,24292.3,70170.7,41751.0,-6833.6,59.5,24.79,24.96
2020,15102.3,21153.8,70127.1,36256.1,-6051.5,51.7,-13.5,-12.92
2021,16662.8,25507.7,81170.1,42170.5,-8844.9,51.95,10.33,20.58
2022,19732.6,30767.8,94286.4,50500.4,-11035.2,53.56,18.42,20.62
2023,24869.5,38659.1,107526.5,63528.6,-13789.6,59.08,26.03,25.65
2024,27270.1,39968.3,121356.1,67238.4,-12698.2,55.41,9.65,3.39
2025,34247.9,48515.6,147038.1,82763.5,-14267.7,56.29,25.59,21.39
