Code,Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
192,Cuba,0.2,4.6,0.4,2.5,0.7,0.1,0.1,5.8,2.1,128.8,278.0
384,Côte d’Ivoire,0.1,1.0,2.5,8.3,0.8,0.5,4.8,7.8,26.7,28.5,820.5
598,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,47.0,57.3
798,Tuvalu,0.0,0.9,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.05,8.0
148,Chad,0.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,2.1,0.2
008,Albania,0.6,1.2,2.2,16.3,5.5,585.8,2643.3,3196.8,543.8,1880.2,154.6
196,Cyprus,1374.2,1071.3,2052.0,2500.2,3306.0,10897.6,3473.6,2874.1,55501.0,18363.7,54032.6
388,Jamaica,0.0,0.8,0.1,0.2,6.3,0.3,119.9,1.9,2.3,0.7,100.2
016,American Samoa,2.0,1.5,2.7,67.6,50.4,1.6,26.5,1.4,39.7,172.7,381.0
204,Benin,1.7,0.0,0.0,0.3,0.5,0.1,0.2,0.5,0.2,77.5,174.3
404,Kenya,2091.4,1.1,79.4,19.6,3.9,0.3,204.8,7.2,118.0,32.7,979.7
020,Andorra,2.4,0.1,0.3,8.9,1.3,0.0,0.6,0.0,1.0,0.9,14.0
212,Dominica,889.2,351.6,909.8,0.6,1.3,1434.1,0.3,0.8,2.8,20.8,5.7
408,Democratic People's Republic of Korea,15688.1,4283.8,3048.9,3069.7,1607.9,366.9,223.4,984.7,668.6,820.3,332.5
604,Peru,345.4,1.1,2.7,20.5,105.5,1717.7,3933.3,3974.0,474.4,3864.2,1719.9
807,North Macedonia,209.1,148.5,123.8,103.8,30.0,408.5,1457.6,1470.6,782.4,391.1,327.4
166,Cocos Islands,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,Tokelau,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.1,0.0
612,Pitcairn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
024,Angola,6.0,0.9,4.3,4.3,0.4,1.8,6.7,76.8,70.7,85.9,1671.8
214,Dominican Republic,9.7,4.9,3.1,0.6,0.1,33.6,546.5,256.8,231.4,1497.4,509.7
831,Guernsey,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.2,0.0
032,Argentina,2946.9,1637.4,44.3,240.8,486.0,155.3,221.9,218.0,176.5,302.2,1094.7
218,Ecuador,0.5,0.4,0.7,3.8,2.6,1.3,0.1,70.6,60.9,81.9,1586.1
422,Lebanon,290.7,553.6,488.0,347.2,159.3,458.3,807.0,1564.3,604.4,394.3,597.4
630,Puerto Rico,0.0,0.0,0.0,2.0,4.0,2.4,1.7,2.7,204.3,4.3,209.9
044,Bahamas,7.1,1.2,0.9,4.3,29.5,220.6,247.4,339.1,46.3,12.5,87.4
031,Azerbaijan,25497.8,16320.7,27574.4,35610.2,52166.3,54227.7,75997.0,133749.7,133392.8,210769.8,232282.0
004,Afghanistan,444466.9,517261.3,615606.6,602503.1,616959.9,776737.5,667484.3,756281.6,857236.5,1098854.7,1535776.6
