Code,Product_Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
7,Machines and transport equipment,137.0,208.9,350.8,204.1,421.8,434.4,693.6,973.7,1305.2,1201.1,1160.9
8,Various finished products,213.1,245.8,311.8,337.6,435.7,617.3,780.4,1106.1,1195.6,1105.7,1695.5
9,Other goods,1920.6,2807.6,3260.0,2939.0,4978.2,5813.1,4303.9,4132.3,8192.6,7555.1,10092.5
99,Services,3061.3,3120.6,2474.5,3070.0,3434.8,2005.0,2581.7,4456.7,5640.4,7571.7,10197.0
1,Beverages and tobacco,23.1,17.8,23.4,22.3,29.8,27.1,36.0,111.0,123.0,138.5,205.7
6,Industrial goods,1739.5,1712.6,2200.7,2411.8,2752.9,2906.4,4332.9,4383.5,4051.5,4175.8,3987.4
5,Chemicals and similar products,594.8,817.6,860.7,881.3,836.5,820.9,1136.6,1307.7,1307.4,1680.7,2136.0
4,Animal and vegetable oils, fats and wax,0.2,0.0,0.0,0.1,12.4,26.8,1.5,21.2,14.2,43.5,56.6
2,Non-food raw materials, except fuel,885.3,788.5,626.6,427.5,591.2,456.1,509.5,393.6,321.4,315.4,294.6
3,Mineral fuels, lubricating oils and similar materials,2685.1,1713.9,1607.6,2666.8,2528.9,659.0,914.8,1215.2,940.6,1307.6,1477.0
0,Food and live animals,1239.6,644.9,817.9,1029.9,1436.4,1336.2,1371.8,1631.5,1777.6,2175.0,2944.6
